날짜,업종,묶음,항목번호,무엇이틀렸나,어떻게고쳤나,상태,근거파일
2026-08-11,여행,③ 디자인프리셋,C1,"index.html 이 색을 「소프트 파스텔」이라 적었다 — 폐기한 색이다. 실제로 칠한 것은 #5B4FE5","「가이드 03 일렉트릭 바이올렛」으로 고침. base.css 의 --primary 를 가이드 JSON 과 맞춰 확인",고침,여행_디럭스/완성화면/index.html:27
2026-08-11,여행,③ 디자인프리셋,C3,"손님에게 「가이드_03_소프트파스텔.json」을 알려 주는데 그 파일이 폴더에 없다","실제 파일 이름으로 고침",고침,여행_디럭스/완성화면/index.html:136
2026-08-11,여행,③ 디자인프리셋,C2,"index.html 에 레이아웃이 아예 안 적혀 있었다","화면에서 확인 후 「레이아웃 A 검색 중심형」 적음 (검색바 3칸＋지표 3개 = A 의 규격)",고침,여행_프리미엄/완성화면/index.html:28
2026-08-11,여행,③ 디자인프리셋,C3,"「프리셋_01_모던네이비.json」 — 없는 파일 이름","실제 이름 「가이드_01_모던네이비」로 고침",고침,여행_프리미엄/완성화면/index.html:238
2026-08-11,뷰티샵,③ 디자인프리셋,C1·C2,"「소프트 파스텔 × 레이아웃 B 목록 중심형」 — 색은 폐기된 이름이고 레이아웃은 그 팩에 아예 없는 것이다","「일렉트릭 바이올렛 × 레이아웃 A 사진 중심형」으로 고침. 2단 헤더(catbar+gnb)를 보고 A 로 확인",고침,뷰티샵_디럭스/완성화면/index.html:27
2026-08-11,매칭,③ 디자인프리셋,C1,"「가이드 01 모던 네이비」라 적혀 있는데 실제로 칠한 색은 #111111 (미니멀 모노)","「가이드 02 미니멀 모노」로 고침",고침,매칭_프리미엄/완성화면/index.html:27
2026-08-11,뷰티샵,④⑤ 완성화면,D2·D3,"홈 히어로의 큰 사진이 제 칸을 13px 넘어서 옆 사진과의 틈 15px 을 통째로 먹었다. ph() 가 붙이는 인라인 aspect-ratio 가 CSS 를 이겼다","base.css 의 .mosaic first-child 에 aspect-ratio:auto!important. 고친 뒤 픽셀로 다시 재서 13·15px 확인",고침,뷰티샵_디럭스·프리미엄/완성화면/assets/css/base.css:353
2026-08-11,LMS,④ 완성화면(2뎁스),D1,"CL-03 강의 재생 — 「전체 진도 40%」 카드가 커리큘럼 목록 위에 겹쳐 그려진다","아직 안 고침. 겹침을 재는 검사기가 없어서 다른 화면에도 있는지 모른다",못고침,LMS_디럭스/완성화면/pages/CL-03.html
2026-08-11,뷰티샵,④ 완성화면(2뎁스),E1·E2,"홈 히어로가 회색 자리표 5개뿐이다. 24팩 중 여기만 그렇다(나머지 홈은 0~1개). 게다가 카피가 「사진으로 먼저 고르는 뷰티 예약」이라 글이 화면을 배신한다","아직 안 고침. 사진 없이 히어로를 무엇으로 채울지 정해야 한다 — 사장님 결정 필요",사람확인필요,뷰티샵_디럭스/완성화면/pages/HO-01.html
2026-08-18,매칭,④⑤ 완성화면,A2,"check-design: .idx-list 줄 간격에 날숫자 10px 을 직접 적었다(디럭스·프리미엄 둘 다) — 여행 팩은 같은 자리에 var(--s2) 토큰을 쓰고 있었다","gap:10px → gap:var(--s2) 로 토큰화. check-design 재실행해 통과 확인",고침,매칭_디럭스·매칭_프리미엄/완성화면/assets/css/base.css
2026-08-18,인테리어,④ 완성화면(2뎁스),A2,"check-design: .ph .lb(자리표 안내 글자) 색 #8B94A6 가 바탕 #EEF2F7 위에서 대비 2.71 — 아이콘이라도 3.0 은 넘어야 하는데 못 미쳤다",색을 var(--muted)(#666666) 로 바꿔 대비 확보. check-design 재실행해 통과 확인,고침,인테리어_디럭스/완성화면/assets/css/base.css:591
